id,review_date,title,review_text,product_category,user_country,verified_purchase,price,discount,rating,helpful_votes,total_votes,sentiment
0,2022-01-31,,VERY BAD QUALITY AND DISAPPOINTING EXPERIENCE. RATING: 2/5,Home,UK,True,69.44,0.3,2,5,6,negative
1,2022-12-30,Bad Purchase,Excellent performance and great value. Rating: 3/5!!!,Books,UK,True,40.69,0.49,3,3,6,neutral
2,2021-05-10,Best Buy,Very bad quality and disappointing experience. Rating: 4/5???,Books,Australia,True,40.52,0.38,4,1,5,positive
3,2022-07-18,Okay Item,Very  bad  quality  and  disappointing  experience.  Rating:  3/5,Electronics,Australia,True,41.96,0.25,3,9,16,neutral
4,2022-02-04,,THIS PRODUCT IS AMAZING AND WORKS PERFECTLY. RATING: 5/5,Clothing,Canada,False,93.21,0.12,5,6,11,positive
5,2021-12-31,Best Buy,Excellent performance and great value. Rating: 4/5!!!,Books,Singapore,True,,0.46,4,6,11,positive
6,2023-09-21,Best Buy,"I LOVE THIS PRODUCT, WILL BUY AGAIN. RATING: 5/5",Sports,UK,True,64.88,0.31,5,3,8,positive
7,2021-11-10,Best Buy,Excellent performance and great value. Rating: 4/5???,Books,USA,True,49.41,0.02,4,4,15,positive
8,2023-06-27,Okay Item,Highly recommend this product. Rating: 5/5!!!,Electronics,,True,99.93,0.27,5,6,11,positive
9,2019-05-02,Great Product,"I love this product, will buy again. Rating: 3/5 😊",Toys,India,True,69.1,0.06,3,2,5,neutral
10,2020-04-11,Okay Item,Decent product for the price. Rating: 5/5???,Toys,UK,True,,0.38,5,7,15,positive
11,2022-05-23,Bad Purchase,"Terrible build quality, broke quickly. Rating: 3/5 😊",Electronics,Germany,True,54.03,0.14,3,8,16,neutral
12,2019-11-27,Great Product,Excellent performance and great value. Rating: 4/5 😊,Home,Australia,True,-1.68,0.29,4,5,10,positive
13,2023-01-22,Great Product, Very bad quality and disappointing experience. Rating: 2/5 ,Books,India,False,37.1,0.11,2,6,14,negative
14,2019-03-29,Best Buy,"Terrible build quality, broke quickly. Rating: 4/5 😊",Books,Australia,True,97.73,0.43,4,3,13,positive
15,2022-10-28,Okay Item,"AVERAGE ITEM, NOTHING SPECIAL. RATING: 3/5",Clothing,India,True,90.24,0.41,3,6,7,neutral
16,2022-01-28,Okay Item,GOOD BUT COULD BE BETTER. RATING: 3/5,Books,Canada,True,46.81,0.3,3,6,14,neutral
17,2021-05-21,Worth It,Very  bad  quality  and  disappointing  experience.  Rating:  5/5,Clothing,USA,True,117.5,0.04,5,5,19,positive
18,2023-08-15,Best Buy,"I love this product, will buy again. Rating: 2/5 😊",Books,UK,True,73.97,0.39,2,8,17,negative
19,2019-05-11,Great Product,Excellent performance and great value. Rating: 5/5???,Clothing,Canada,True,21.68,0.02,5,7,14,positive
20,2023-08-13,Bad Purchase,,Clothing,Germany,True,20.15,0.43,5,5,13,positive
21,2022-08-25,Bad Purchase,"AVERAGE ITEM, NOTHING SPECIAL. RATING: 1/5",Clothing,Germany,False,86.62,0.43,1,2,4,negative
22,2021-02-08,Worth It,,Books,UK,False,22.06,0.01,4,2,11,positive
23,2019-12-10,Worth It,Not worth the money at all. Rating: 3/5???,Home,Singapore,False,51.83,0.09,3,9,19,neutral
24,2023-02-24,Worth It,Decent product for the price. Rating: 1/5 😊,Clothing,UK,True,81.71,0.43,1,4,16,negative
25,2022-12-08,Worth It,Excellent performance and great value. Rating: 3/5???,Books,UK,True,79.56,0.45,3,5,17,neutral
26,2021-03-16,Bad Purchase,Very  bad  quality  and  disappointing  experience.  Rating:  5/5,Books,India,True,19.14,0.01,5,11,13,positive
27,2020-01-21,Bad Purchase,,Clothing,India,False,35.45,0.15,1,3,17,negative
28,2022-04-30,Okay Item, Decent product for the price. Rating: 4/5 ,Sports,Germany,True,84.19,0.24,4,3,12,positive
29,2021-08-13,Best Buy,,Toys,India,True,72.1,0.47,4,4,11,positive
30,2019-10-04,Worth It,Excellent performance and great value. Rating: 5/5???,Electronics,,True,62.79,0.36,5,3,16,positive
31,2022-03-30,Great Product,This product is amazing and works perfectly. Rating: 1/5!!!,Beauty,,True,110.32,0.38,1,6,10,negative
32,2020-04-04,Worth It," Terrible build quality, broke quickly. Rating: 4/5 ",Home,Canada,False,8.24,0.11,4,7,13,positive
33,2022-08-30,Best Buy,,Clothing,Germany,True,126.0,0.0,4,2,13,positive
34,2019-01-22,Okay Item,"Terrible build quality, broke quickly. Rating: 4/5!!!",Electronics,Germany,True,21.37,0.4,4,4,8,positive
35,2019-09-10,Okay Item,Highly recommend this product. Rating: 5/5???,Beauty,Australia,True,20.16,0.32,5,3,10,positive
36,2021-01-17,Bad Purchase,Decent product for the price. Rating: 5/5 😊,Beauty,USA,True,,0.4,5,5,14,positive
37,2021-05-06,Best Buy,Excellent performance and great value. Rating: 1/5???,Home,Australia,True,63.19,0.36,1,7,16,negative
38,2023-05-04,Best Buy,Good but could be better. Rating: 4/5 😊,Electronics,Australia,True,42.35,0.03,4,5,14,positive
39,2020-04-19,Okay Item,Highly  recommend  this  product.  Rating:  3/5,Electronics,India,True,59.04,0.34,3,4,11,neutral
40,2021-12-18,Bad Purchase,"Terrible build quality, broke quickly. Rating: 3/5!!!",Home,USA,True,59.72,0.36,3,5,5,neutral
41,2020-05-25,Great Product, Good but could be better. Rating: 4/5 ,Clothing,India,True,56.48,0.31,4,7,12,positive
42,2023-09-02,Bad Purchase,THIS PRODUCT IS AMAZING AND WORKS PERFECTLY. RATING: 3/5,Clothing,India,False,56.74,0.38,3,6,9,neutral
43,2023-02-08,Okay Item,Decent product for the price. Rating: 3/5???,Beauty,Germany,True,38.77,0.43,3,3,3,neutral
44,2020-11-30,Okay Item,"I LOVE THIS PRODUCT, WILL BUY AGAIN. RATING: 5/5",Electronics,Germany,True,41.91,0.32,5,6,13,positive
45,2021-09-02,Okay Item,Highly  recommend  this  product.  Rating:  1/5,Sports,USA,True,,0.49,1,5,18,negative
46,2023-12-12,Best Buy,,Electronics,Canada,True,15.71,0.29,5,4,8,positive
47,2019-07-09,Great Product,This product is amazing and works perfectly. Rating: 4/5???,Sports,India,True,32.87,0.13,4,2,15,positive
48,2021-08-15,,Good but could be better. Rating: 4/5 😊,Sports,Germany,True,45.61,0.47,4,5,17,positive
49,2020-11-17,Okay Item,Very bad quality and disappointing experience. Rating: 5/5 😊,Home,India,False,63.17,0.01,5,5,5,positive
50,2021-08-15,Great Product, Decent product for the price. Rating: 3/5 ,Home,Singapore,True,64.9,0.42,3,5,6,neutral
51,2020-07-16,Bad Purchase,"Average  item,  nothing  special.  Rating:  3/5",Sports,UK,False,60.29,0.07,3,3,15,neutral
52,2024-03-14,,GOOD BUT COULD BE BETTER. RATING: 3/5,Sports,Canada,True,24.43,0.34,3,6,16,neutral
53,2023-05-10,Bad Purchase,Good  but  could  be  better.  Rating:  3/5,Beauty,Germany,True,66.86,0.13,3,5,18,neutral
54,2022-06-21,Bad Purchase,Decent product for the price. Rating: 5/5 😊,Sports,Australia,True,5.55,0.06,5,5,17,positive
55,2021-04-11,Great Product,Good  but  could  be  better.  Rating:  5/5,Clothing,Canada,True,67.94,0.2,5,6,17,positive
56,2023-03-09,,"I love this product, will buy again. Rating: 2/5 😊",Clothing,Canada,True,56.01,0.41,2,5,17,negative
57,2022-02-28,Worth It,THIS PRODUCT IS AMAZING AND WORKS PERFECTLY. RATING: 2/5,Clothing,Canada,True,26.92,0.28,2,6,12,negative
58,2023-02-17,Great Product,"Average item, nothing special. Rating: 3/5!!!",Books,Singapore,False,,0.12,3,2,11,neutral
59,2024-01-17,Great Product,,Books,,True,81.89,0.22,1,12,22,negative
60,2020-10-08,,Very bad quality and disappointing experience. Rating: 4/5???,Sports,India,True,43.85,0.17,4,7,15,positive
61,2019-01-21,Bad Purchase,Very  bad  quality  and  disappointing  experience.  Rating:  2/5,Beauty,UK,False,42.73,0.36,2,4,9,negative
62,2021-04-20,Okay Item,Decent product for the price. Rating: 4/5???,Books,USA,True,66.55,0.03,4,5,14,positive
63,2019-06-16,Worth It,Good but could be better. Rating: 1/5!!!,Home,Singapore,True,60.37,0.47,1,7,10,negative
64,2022-07-21,,Good  but  could  be  better.  Rating:  3/5,Books,Canada,False,52.38,0.3,3,1,3,neutral
65,2020-01-23,,Excellent  performance  and  great  value.  Rating:  4/5,Home,Singapore,True,62.74,0.15,4,5,17,positive
66,2020-08-23,," Average item, nothing special. Rating: 4/5 ",Books,Australia,True,30.18,0.46,4,6,6,positive
67,2019-11-12,Okay Item,Not  worth  the  money  at  all.  Rating:  5/5,Beauty,Australia,False,,0.15,5,5,19,positive
68,2019-01-14,Bad Purchase,Very bad quality and disappointing experience. Rating: 5/5!!!,Books,UK,True,,0.46,5,2,5,positive
69,2019-08-30,Great Product,Very bad quality and disappointing experience. Rating: 3/5 😊,Toys,Singapore,True,93.95,0.26,3,5,7,neutral
70,2021-02-15,Bad Purchase,"I  love  this  product,  will  buy  again.  Rating:  1/5",Home,India,True,47.57,0.19,1,2,16,negative
71,2022-10-01,Great Product,"I love this product, will buy again. Rating: 5/5!!!",Sports,Australia,True,53.55,0.38,5,4,6,positive
72,2020-07-18,Great Product,Very bad quality and disappointing experience. Rating: 5/5???,Sports,Canada,True,72.06,0.37,5,5,6,positive
